"Time","TMV 1 DHW Outlet","TMV 1 DHW Inlet"
"2019-05-03 23:40:39",128
"2019-05-04 00:01:56",,138.8
"2019-05-04 00:04:54",,138
"2019-05-04 00:07:47",,138.5
"2019-05-04 00:10:45",,138.8
"2019-05-04 00:13:42",,138.8
"2019-05-04 00:16:40",,139.1
"2019-05-04 00:19:39",,139.1
"2019-05-04 00:22:37",,139.6
"2019-05-04 00:25:34",,138.9
"2019-05-04 00:52:20",,141.1
"2019-05-04 01:00:52",127.9
"2019-05-04 01:18:54",,141.6
"2019-05-04 01:45:32",,141.6
"2019-05-04 02:09:21",,142.3
"2019-05-04 02:21:30",127.8
"2019-05-04 02:36:09",,142
"2019-05-04 03:02:44",,141.1
"2019-05-04 03:29:27",,142.1
"2019-05-04 03:41:35",127.8
"2019-05-04 03:56:10",,142.1
"2019-05-04 04:20:01",,138.2
"2019-05-04 04:46:38",,141.9
"2019-05-04 05:01:53",127.8
"2019-05-04 05:13:17",,141.5
"2019-05-04 05:39:55",,141.4
"2019-05-04 06:06:37",,141.9
"2019-05-04 06:22:08",128.6
"2019-05-04 06:33:27",,138.2
"2019-05-04 07:00:00",,136.9
"2019-05-04 07:26:41",,139.3
"2019-05-04 07:39:31",128.5
"2019-05-04 07:53:21",,138.7
"2019-05-04 08:20:10",,137.1
"2019-05-04 08:46:46",,137.9
"2019-05-04 08:59:46",128.4
"2019-05-04 09:10:31",,133.6
"2019-05-04 09:37:13",,138.3
"2019-05-04 10:03:49",,139.7
"2019-05-04 10:17:17",127.2
"2019-05-04 10:30:32",,140.6
"2019-05-04 10:57:20",,142.2
"2019-05-04 11:18:58",,141
"2019-05-04 11:28:30",128.5
"2019-05-04 11:45:34",,141.2
"2019-05-04 12:12:16",,141.5
"2019-05-04 12:38:56",,142.2
"2019-05-04 12:48:48",128.8
"2019-05-04 13:04:22",,141.9
"2019-05-04 13:28:52",,140.8
"2019-05-04 13:55:38",,142.1
"2019-05-04 14:09:01",128.6
"2019-05-04 14:22:13",,141.8
"2019-05-04 14:48:00",,141.7
