"Time","01-01 Riser Return","01 Riser Return"
"2019-04-21 22:11:04",91.5
"2019-04-22 00:02:50",,98.5
"2019-04-22 00:05:50",,98.5
"2019-04-22 00:11:48",,98.3
"2019-04-22 00:17:47",,97.9
"2019-04-22 00:23:46",,97.4
"2019-04-22 00:29:43",,97
"2019-04-22 00:35:43",,96.6
"2019-04-22 00:41:40",,95.7
"2019-04-22 00:47:43",,94.7
"2019-04-22 00:53:36",,94.2
"2019-04-22 00:57:43",91.4
"2019-04-22 00:59:35",,94.1
"2019-04-22 01:05:34",,93.7
"2019-04-22 01:11:32",,93.1
"2019-04-22 01:17:31",,92.4
"2019-04-22 01:23:27",,91.9
"2019-04-22 01:29:24",,91.5
"2019-04-22 01:35:23",,91.2
"2019-04-22 01:41:20",,91
"2019-04-22 01:47:18",,90.7
"2019-04-22 01:53:15",,90.7
"2019-04-22 01:59:12",,90.9
"2019-04-22 02:05:09",,91.1
"2019-04-22 02:11:08",,91.4
"2019-04-22 02:17:04",,91.9
"2019-04-22 02:23:07",,92.8
"2019-04-22 02:29:01",,94.4
"2019-04-22 02:35:03",,96
"2019-04-22 02:41:07",,97.2
"2019-04-22 02:46:56",,97.9
"2019-04-22 02:52:55",,97.4
"2019-04-22 02:58:53",,97.1
"2019-04-22 03:04:51",,97.1
"2019-04-22 03:10:49",,96.1
"2019-04-22 03:16:48",,97.2
"2019-04-22 03:22:45",,98.4
"2019-04-22 03:28:43",,99
"2019-04-22 03:34:18",88.1
"2019-04-22 03:34:41",,99.2
"2019-04-22 03:40:39",,100
"2019-04-22 03:46:37",,100.5
"2019-04-22 03:52:39",,99.9
"2019-04-22 03:58:33",,99.6
"2019-04-22 04:04:30",,99.6
"2019-04-22 04:10:28",,99.2
"2019-04-22 04:16:31",,98.8
"2019-04-22 04:22:23",,98.4
"2019-04-22 04:28:27",,97.8
"2019-04-22 04:34:24",,96.9
"2019-04-22 04:40:18",,96.2
"2019-04-22 04:42:55",,94
"2019-04-22 04:47:42",,91.6
"2019-04-22 04:53:42",,89.8
"2019-04-22 04:57:31",,91.5
"2019-04-22 05:03:29",,93.2
"2019-04-22 05:09:27",,93.3
"2019-04-22 05:15:24",,93.4
"2019-04-22 05:21:23",,93.8
"2019-04-22 05:27:21",,94
"2019-04-22 05:33:19",,95
"2019-04-22 05:39:17",,96
"2019-04-22 05:45:14",,97.1
"2019-04-22 05:51:23",,98
"2019-04-22 05:57:13",,99.1
"2019-04-22 05:59:59",89.1
"2019-04-22 06:03:09",,100.5
"2019-04-22 06:09:11",,101.4
"2019-04-22 06:15:13",,101.1
"2019-04-22 06:20:45",,99
"2019-04-22 06:26:44",,99.2
"2019-04-22 06:32:44",,100.3
"2019-04-22 06:38:40",,99.9
"2019-04-22 06:44:44",,98.4
"2019-04-22 06:50:37",,97.6
"2019-04-22 06:56:35",,98.8
"2019-04-22 07:02:34",,100.1
"2019-04-22 07:08:40",,100.3
"2019-04-22 07:14:29",,99.8
"2019-04-22 07:20:28",,99.2
"2019-04-22 07:26:27",,99.2
"2019-04-22 07:32:24",,99.8
"2019-04-22 07:38:24",,99.5
"2019-04-22 07:44:23",,98.8
"2019-04-22 07:50:21",,97.9
"2019-04-22 07:56:21",,96.6
"2019-04-22 08:02:19",,96.9
"2019-04-22 08:08:19",,97.2
"2019-04-22 08:14:16",,97
"2019-04-22 08:20:20",,97.4
"2019-04-22 08:26:13",,98.1
"2019-04-22 08:32:15",,98.5
"2019-04-22 08:36:36",,99.9
"2019-04-22 08:42:34",,100.4
"2019-04-22 08:42:57",91.8
"2019-04-22 08:48:32",,100.3
"2019-04-22 08:54:34",,100.2
"2019-04-22 09:00:29",,100.1
"2019-04-22 09:06:27",,99.7
"2019-04-22 09:12:25",,99.1
"2019-04-22 09:18:24",,98.5
"2019-04-22 09:24:21",,98.2
"2019-04-22 09:30:24",,98.2
"2019-04-22 09:36:18",,98.5
"2019-04-22 09:42:16",,98.4
"2019-04-22 09:48:13",,98.2
"2019-04-22 09:54:17",,98.2
"2019-04-22 10:00:11",,98.3
"2019-04-22 10:06:08",,98.3
"2019-04-22 10:12:06",,98.8
"2019-04-22 10:18:04",,99.4
"2019-04-22 10:24:04",,99.3
"2019-04-22 10:30:07",,98.8
"2019-04-22 10:36:01",,98.6
"2019-04-22 10:42:00",,98.7
"2019-04-22 10:47:57",,98.9
"2019-04-22 10:53:53",,98.6
"2019-04-22 10:59:50",,98.3
"2019-04-22 11:05:49",,98.4
"2019-04-22 11:11:46",,98.8
"2019-04-22 11:17:43",,98.9
"2019-04-22 11:23:40",,98.9
"2019-04-22 11:29:38",,98.9
"2019-04-22 11:29:51",92
"2019-04-22 11:35:36",,99.3
"2019-04-22 11:41:34",,99.5
"2019-04-22 11:47:33",,99.7
"2019-04-22 11:53:31",,99.7
"2019-04-22 11:59:28",,99.6
"2019-04-22 12:05:26",,99.7
"2019-04-22 12:11:24",,98.7
"2019-04-22 12:17:23",,98
"2019-04-22 12:23:20",,98.2
"2019-04-22 12:29:24",,97.6
"2019-04-22 12:35:17",,96.8
"2019-04-22 12:41:15",,96.3
"2019-04-22 12:47:17",,96.1
"2019-04-22 12:53:12",,95.8
"2019-04-22 12:59:11",,95.1
"2019-04-22 13:05:09",,95.3
"2019-04-22 13:11:07",,96.3
"2019-04-22 13:17:06",,97.4
"2019-04-22 13:21:43",,98.8
"2019-04-22 13:26:45",,99.7
"2019-04-22 13:32:44",,101.1
"2019-04-22 13:38:41",,101.4
"2019-04-22 13:44:39",,101.3
"2019-04-22 13:50:43",,100.8
"2019-04-22 13:56:35",,99.8
"2019-04-22 14:02:34",,99.5
"2019-04-22 14:08:34",,99.2
"2019-04-22 14:14:31",,99.5
"2019-04-22 14:16:36",91.5
"2019-04-22 14:20:28",,99.4
"2019-04-22 14:26:25",,99.4
"2019-04-22 14:32:23",,99.6
"2019-04-22 14:38:22",,99.6
"2019-04-22 14:44:20",,99.5
"2019-04-22 14:50:17",,99.3
"2019-04-22 14:56:16",,99.1
"2019-04-22 15:02:15",,99.1
"2019-04-22 15:08:13",,98.9
"2019-04-22 15:14:16",,98.8
"2019-04-22 15:20:10",,98.6
"2019-04-22 15:26:07",,98.5
"2019-04-22 15:32:05",,98.3
"2019-04-22 15:38:05",,98.1
"2019-04-22 15:44:03",,98.3
"2019-04-22 15:50:00",,98.4
"2019-04-22 15:55:59",,99
"2019-04-22 16:01:57",,99.2
"2019-04-22 16:07:55",,99
"2019-04-22 16:13:53",,98.7
"2019-04-22 16:19:49",,98.4
"2019-04-22 16:25:46",,98.1
"2019-04-22 16:31:45",,97.7
"2019-04-22 16:37:46",,97.4
"2019-04-22 16:43:41",,97
"2019-04-22 16:49:39",,96.6
"2019-04-22 17:03:26",91.6
"2019-04-22 19:50:13",91
"2019-04-22 20:06:34",,98.1
"2019-04-22 20:11:02",92.1
"2019-04-22 20:31:53",92.3
"2019-04-22 20:42:41",,99.4
"2019-04-22 20:52:55",92.4
"2019-04-22 21:13:38",92.5
"2019-04-22 21:18:21",,100.2
"2019-04-22 21:34:31",93.1
"2019-04-22 21:55:25",91.6
"2019-04-22 22:08:55",,98.2
"2019-04-22 22:16:15",89.5
"2019-04-22 22:37:07",89.3
