"Time","02-02 Riser Return","02 Riser Return"
"2019-04-21 23:33:16",96.3
"2019-04-22 00:00:13",95.6
"2019-04-22 00:02:06",,88.9
"2019-04-22 00:05:05",,89
"2019-04-22 00:08:08",,89.1
"2019-04-22 00:11:07",,89.5
"2019-04-22 00:14:02",,89.9
"2019-04-22 00:17:01",,90.3
"2019-04-22 00:20:05",,90.7
"2019-04-22 00:23:01",,90.9
"2019-04-22 00:25:59",,91.1
"2019-04-22 00:26:58",97
"2019-04-22 00:28:59",,91.2
"2019-04-22 00:31:59",,91.3
"2019-04-22 00:34:58",,91
"2019-04-22 00:37:58",,90.7
"2019-04-22 00:40:58",,90.3
"2019-04-22 00:43:57",,89.7
"2019-04-22 00:46:56",,89.1
"2019-04-22 00:49:55",,88.4
"2019-04-22 00:52:54",,87.6
"2019-04-22 00:53:48",95.6
"2019-04-22 00:55:52",,87.1
"2019-04-22 00:58:51",,87
"2019-04-22 01:01:55",,87.6
"2019-04-22 01:04:48",,88.1
"2019-04-22 01:07:47",,88.4
"2019-04-22 01:10:47",,88.3
"2019-04-22 01:13:47",,87.9
"2019-04-22 01:16:45",,87.6
"2019-04-22 01:19:45",,87.3
"2019-04-22 01:20:21",92.9
"2019-04-22 01:22:44",,86.8
"2019-04-22 01:25:42",,86.3
"2019-04-22 01:28:47",,85.9
"2019-04-22 01:31:41",,85.3
"2019-04-22 01:34:41",,85
"2019-04-22 01:37:40",,84.9
"2019-04-22 01:40:39",,84.9
"2019-04-22 01:43:38",,85
"2019-04-22 01:46:37",,85.2
"2019-04-22 01:47:06",89.2
"2019-04-22 01:49:36",,85.4
"2019-04-22 01:52:36",,85.7
"2019-04-22 01:55:36",,85.8
"2019-04-22 01:58:35",,85.9
"2019-04-22 02:01:33",,86
"2019-04-22 02:04:48",,85.9
"2019-04-22 02:07:32",,85.7
"2019-04-22 02:10:35",,85.4
"2019-04-22 02:13:31",,85.2
"2019-04-22 02:13:58",90.2
"2019-04-22 02:16:29",,84.9
"2019-04-22 02:19:28",,84.6
"2019-04-22 02:22:27",,84.3
"2019-04-22 02:25:26",,83.8
"2019-04-22 02:28:25",,83.3
"2019-04-22 02:31:25",,82.9
"2019-04-22 02:34:24",,82.5
"2019-04-22 02:37:24",,82.1
"2019-04-22 02:40:23",,81.6
"2019-04-22 02:40:49",86.1
"2019-04-22 02:43:22",,81.2
"2019-04-22 02:46:20",,80.7
"2019-04-22 02:49:19",,80.3
"2019-04-22 02:52:18",,80
"2019-04-22 02:55:18",,79.9
"2019-04-22 02:58:17",,79.6
"2019-04-22 03:01:16",,79.3
"2019-04-22 03:04:15",,79.1
"2019-04-22 03:07:13",,78.6
"2019-04-22 03:07:44",82.1
"2019-04-22 03:10:12",,78.5
"2019-04-22 03:13:11",,78.2
"2019-04-22 03:16:10",,78
"2019-04-22 03:19:09",,77.9
"2019-04-22 03:22:08",,77.7
"2019-04-22 03:25:08",,77.5
"2019-04-22 03:28:08",,77.3
"2019-04-22 03:31:07",,77.1
"2019-04-22 03:34:06",,76.9
"2019-04-22 03:34:35",79.1
"2019-04-22 03:37:10",,77
"2019-04-22 03:40:05",,77.4
"2019-04-22 03:43:09",,78
"2019-04-22 03:46:09",,78.6
"2019-04-22 03:49:04",,78.9
"2019-04-22 03:52:02",,79
"2019-04-22 03:55:02",,79
"2019-04-22 03:58:01",,78.9
"2019-04-22 04:01:00",,78.7
"2019-04-22 04:01:27",79.2
"2019-04-22 04:04:00",,78.5
"2019-04-22 04:07:00",,78.2
"2019-04-22 04:09:59",,78.4
"2019-04-22 04:12:58",,79
"2019-04-22 04:15:57",,79.4
"2019-04-22 04:18:56",,79.6
"2019-04-22 04:21:55",,79.8
"2019-04-22 04:24:55",,79.8
"2019-04-22 04:27:53",,79.7
"2019-04-22 04:28:24",81.7
"2019-04-22 04:30:52",,79.6
"2019-04-22 04:33:52",,79.4
"2019-04-22 04:36:51",,79.2
"2019-04-22 04:39:49",,79.4
"2019-04-22 04:42:48",,80.4
"2019-04-22 04:45:24",,81.5
"2019-04-22 04:47:58",84.5
"2019-04-22 04:48:02",,82.7
"2019-04-22 04:49:41",,83.8
"2019-04-22 04:51:00",,84.9
"2019-04-22 04:52:28",,86.1
"2019-04-22 04:53:34",,87.3
"2019-04-22 04:54:38",,88.4
"2019-04-22 04:55:34",94.3
"2019-04-22 04:55:53",,89.5
"2019-04-22 04:57:17",,90.7
"2019-04-22 04:59:16",,91.8
"2019-04-22 05:01:59",,92.9
"2019-04-22 05:05:17",,93.6
"2019-04-22 05:07:58",,94.1
"2019-04-22 05:10:57",,94.4
"2019-04-22 05:13:56",,94.2
"2019-04-22 05:16:56",,94
"2019-04-22 05:19:54",,93.7
"2019-04-22 05:20:11",101.7
"2019-04-22 05:22:54",,93.5
"2019-04-22 05:25:53",,93.3
"2019-04-22 05:28:52",,93.1
"2019-04-22 05:32:02",,92.8
"2019-04-22 05:35:09",,92.5
"2019-04-22 05:37:49",,92.2
"2019-04-22 05:40:49",,92.2
"2019-04-22 05:43:48",,92.3
"2019-04-22 05:46:52",,92.2
"2019-04-22 05:47:02",99.4
"2019-04-22 05:49:47",,91.9
"2019-04-22 05:52:47",,91.5
"2019-04-22 05:55:46",,91.7
"2019-04-22 05:58:46",,91.6
"2019-04-22 06:01:45",,91.9
"2019-04-22 06:04:45",,92
"2019-04-22 06:08:00",,92.1
"2019-04-22 06:10:43",,91.9
"2019-04-22 06:13:43",,91.6
"2019-04-22 06:13:54",98.3
"2019-04-22 06:16:46",,91.4
"2019-04-22 06:19:46",,89.1
"2019-04-22 06:40:47",97
"2019-04-22 07:04:13",99.5
"2019-04-22 07:31:07",103.7
"2019-04-22 07:57:58",100.2
"2019-04-22 08:24:51",93.1
"2019-04-22 08:47:31",93.8
"2019-04-22 09:14:23",95.8
"2019-04-22 09:38:36",101.8
"2019-04-22 10:05:23",98.5
"2019-04-22 10:30:09",100.5
"2019-04-22 10:57:04",102.6
"2019-04-22 11:16:55",98.6
"2019-04-22 11:42:01",103.1
"2019-04-22 12:06:32",102.5
"2019-04-22 12:29:28",104.2
"2019-04-22 12:56:23",101.3
"2019-04-22 13:23:17",99.1
"2019-04-22 13:50:04",96.3
"2019-04-22 14:13:13",101.5
"2019-04-22 14:39:35",100.5
"2019-04-22 15:06:27",96.3
"2019-04-22 15:33:19",96.5
"2019-04-22 16:00:18",94.1
