"Time","DCW","DCW"
"2019-04-21 23:40:01",93.6,93.6
"2019-04-22 00:09:44",96.2,96.2
"2019-04-22 00:35:28",97.7,97.7
"2019-04-22 00:55:06",113.6,113.6
"2019-04-22 01:30:41",99.5,99.5
"2019-04-22 02:05:04",73.6,73.6
"2019-04-22 02:40:03",70.6,70.6
"2019-04-22 03:06:02",113.6,113.6
"2019-04-22 03:54:02",58,58
"2019-04-22 04:40:12",82,82
"2019-04-22 05:20:31",72.2,72.2
"2019-04-22 05:31:23",150.2,150.2
"2019-04-22 05:38:41",168.6,168.6
"2019-04-22 05:53:28",85.9,85.9
"2019-04-22 06:17:02",81.8,81.8
"2019-04-22 07:02:52",71.1,71.1
"2019-04-22 07:50:52",52.8,52.8
"2019-04-22 08:38:58",56.3,56.3
"2019-04-22 09:26:58",52.2,52.2
"2019-04-22 10:15:02",104.8,104.8
"2019-04-22 11:03:04",52.5,52.5
"2019-04-22 11:51:09",52.6,52.6
"2019-04-22 12:39:11",53,53
"2019-04-22 13:27:12",55.6,55.6
"2019-04-22 14:15:09",52.8,52.8
"2019-04-22 15:03:17",63.1,63.1
"2019-04-22 15:51:11",52.7,52.7
"2019-04-22 16:39:15",52.9,52.9
"2019-04-22 17:27:18",53,53
"2019-04-22 18:15:17",53,53
"2019-04-22 19:03:21",52.8,52.8
"2019-04-22 19:51:24",53.5,53.5
"2019-04-22 20:18:26",53.1,53.1
"2019-04-22 20:42:25",53,53
"2019-04-22 21:06:28",53.2,53.2
"2019-04-22 21:30:29",53.5,53.5
"2019-04-22 21:54:40",54.4,54.4
"2019-04-22 22:18:32",53.9,53.9
"2019-04-22 22:42:34",54.4,54.4
"2019-04-22 23:06:35",54.8,54.8
"2019-04-22 23:30:35",55.2,55.2
"2019-04-22 23:54:36",55.7,55.7
"2019-04-23 00:12:12",85.2,85.2
"2019-04-23 00:21:01",171.8,171.8
"2019-04-23 00:26:45",159.3,159.3
"2019-04-23 00:27:40",159.2,159.2
"2019-04-23 00:28:45",72,72
"2019-04-23 00:29:59",71.3,71.3
"2019-04-23 00:31:19",74.4,74.4
"2019-04-23 00:32:49",77.9,77.9
"2019-04-23 00:34:13",74.1,74.1
"2019-04-23 00:35:03",72.6,72.6
"2019-04-23 00:36:38",72.3,72.3
"2019-04-23 00:38:47",75.2,75.2
"2019-04-23 00:40:12",111.8,111.8
"2019-04-23 00:41:12",172.5,172.5
"2019-04-23 00:43:16",184.1,184.1
"2019-04-23 01:01:38",128.7,128.7
"2019-04-23 01:25:40",55.5,55.5
"2019-04-23 01:49:39",76.6,76.6
"2019-04-23 02:13:43",108.4,108.4
"2019-04-23 02:37:42",79,79
"2019-04-23 03:01:42",59.7,59.7
"2019-04-23 03:25:44",60,60
"2019-04-23 03:49:43",60.4,60.4
"2019-04-23 04:13:43",59.7,59.7
"2019-04-23 04:37:43",56.4,56.4
"2019-04-23 05:01:44",60.4,60.4
"2019-04-23 05:25:43",89.3,89.3
"2019-04-23 05:49:44",65.3,65.3
"2019-04-23 06:13:47",53.1,53.1
"2019-04-23 06:37:43",52.4,52.4
"2019-04-23 07:01:55",52.8,52.8
"2019-04-23 07:25:48",53.1,53.1
"2019-04-23 07:49:47",53.2,53.2
"2019-04-23 08:13:47",53.5,53.5
"2019-04-23 08:37:48",53.3,53.3
"2019-04-23 09:01:48",53.1,53.1
"2019-04-23 09:25:50",53.5,53.5
"2019-04-23 09:49:52",53.6,53.6
"2019-04-23 10:13:53",53.3,53.3
"2019-04-23 10:37:57",53.5,53.5
"2019-04-23 11:01:54",53.6,53.6
"2019-04-23 11:25:57",53.5,53.5
"2019-04-23 11:49:55",53.6,53.6
"2019-04-23 12:13:56",53.6,53.6
"2019-04-23 12:37:53",53.8,53.8
"2019-04-23 13:01:54",54.3,54.3
"2019-04-23 13:25:51",53.6,53.6
"2019-04-23 13:49:49",53.5,53.5
"2019-04-23 14:13:48",53.5,53.5
"2019-04-23 14:37:48",53.6,53.6
